label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3]
5184.o3	[0,0,0,-300,-2096]	6 4
5184.o4	[0,0,0,1620,-3888]	6 4
5184.p1	[0,0,0,-68940,-6967152]	6 4
5184.p2	[0,0,0,-54540,-9958896]	6 4
5184.p3	[0,0,0,-2700,56592]	6 4
5184.p4	[0,0,0,180,144]	6 4
5184.q1	[0,0,0,-68940,6967152]	6 4
5184.q2	[0,0,0,-54540,9958896]	6 4
5184.q3	[0,0,0,-2700,-56592]	6 4
5184.q4	[0,0,0,180,-144]	6 4
5184.r1	[0,0,0,-620460,-188113104]	6 4
5184.r2	[0,0,0,-6060,-368848]	6 4
5184.r3	[0,0,0,-300,2096]	6 4
5184.r4	[0,0,0,1620,3888]	6 4
5184.s1	[0,0,0,-12,-8]	6 4
5184.t1	[0,0,0,-27,-108]	6 4
5184.u1	[0,0,0,-12,-112]	6 4
5184.v1	[0,0,0,-12,112]	6 4
5184.w1	[0,0,0,-27,108]	6 4
5184.x1	[0,0,0,-12,8]	6 4
5184.y1	[0,0,0,-396,3312]	6 4
5184.y2	[0,0,0,2484,-4752]	6 4
5184.z1	[0,0,0,-156,-752]	6 4
5184.z2	[0,0,0,324,-3888]	6 4
5184.ba1	[0,0,0,-756,-7992]	6 4
5184.ba2	[0,0,0,-36,72]	6 4
5184.bb1	[0,0,0,-756,7992]	6 4
5184.bb2	[0,0,0,-36,-72]	6 4
5184.bc1	[0,0,0,-156,752]	6 4
5184.bc2	[0,0,0,324,3888]	6 4
5184.bd1	[0,0,0,-396,-3312]	6 4
5184.bd2	[0,0,0,2484,4752]	6 4
5184.be1	[0,0,0,-108,2160]	6 4
5184.bf1	[0,0,0,-108,-2160]	6 4
6912.a1	[0,0,0,-54,216]	8 3
6912.b1	[0,0,0,-24,-64]	8 3
6912.c1	[0,0,0,6,16]	8 3
6912.d1	[0,0,0,216,-3456]	8 3
6912.e1	[0,0,0,6,-16]	8 3
6912.f1	[0,0,0,216,3456]	8 3
6912.g1	[0,0,0,-54,-216]	8 3
6912.h1	[0,0,0,-24,64]	8 3
6912.i1	[0,0,0,-4968,134784]	8 3
6912.j1	[0,0,0,-138,-624]	8 3
6912.k1	[0,0,0,-4968,-134784]	8 3
6912.l1	[0,0,0,-138,624]	8 3
6912.m1	[0,0,0,-552,-4992]	8 3
6912.n1	[0,0,0,-1242,16848]	8 3
6912.o1	[0,0,0,-552,4992]	8 3
6912.p1	[0,0,0,-1242,-16848]	8 3
6912.q1	[0,0,0,-6,-8]	8 3
6912.r1	[0,0,0,-216,1728]	8 3
6912.s1	[0,0,0,54,-432]	8 3
6912.t1	[0,0,0,24,128]	8 3
6912.u1	[0,0,0,54,432]	8 3
6912.v1	[0,0,0,24,-128]	8 3
6912.w1	[0,0,0,-6,8]	8 3
6912.x1	[0,0,0,-216,-1728]	8 3
7776.a1	[0,0,0,-72,240]	5 5
7776.b1	[0,0,0,-72,-240]	5 5
7776.c1	[0,0,0,-81,324]	5 5
7776.d1	[0,0,0,-81,-324]	5 5
7776.e1	[0,0,0,-48843,-4154814]	5 5
7776.f1	[0,0,0,-243,-486]	5 5
7776.g1	[0,0,0,-243,486]	5 5
7776.h1	[0,0,0,-48843,4154814]	5 5
7776.i1	[0,0,0,-5427,153882]	5 5
7776.j1	[0,0,0,-27,18]	5 5
7776.k1	[0,0,0,-27,-18]	5 5
7776.l1	[0,0,0,-5427,-153882]	5 5
7776.m1	[0,0,0,-9,-12]	5 5
7776.n1	[0,0,0,-9,12]	5 5
7776.o1	[0,0,0,-648,-6480]	5 5
7776.p1	[0,0,0,-648,6480]	5 5
10368.a1	[0,0,0,6,4]	7 4
10368.b1	[0,0,0,216,-864]	7 4
10368.c1	[0,0,0,6,-4]	7 4
10368.d1	[0,0,0,216,864]	7 4
10368.e1	[0,0,0,-36,144]	7 4
10368.f1	[0,0,0,-81,-486]	7 4
10368.g1	[0,0,0,-36,-144]	7 4
10368.h1	[0,0,0,-81,486]	7 4
10368.i1	[0,0,0,-648,-7776]	7 4
10368.j1	[0,0,0,-18,36]	7 4
10368.k1	[0,0,0,-39528,-3024864]	7 4
10368.l1	[0,0,0,-1098,14004]	7 4
10368.m1	[0,0,0,-39528,3024864]	7 4
